Time,Count,Number,Session
27/08/21 13:46,47,0,366892
27/08/21 13:46,48,38,366892
27/08/21 13:46,49,25,366892
27/08/21 13:46,50,17,366892
27/08/21 13:46,51,29,366892
27/08/21 13:46,52,27,366892
27/08/21 13:46,53,37,366892
27/08/21 13:46,54,36,366892
27/08/21 13:46,55,40,366892
27/08/21 13:46,56,50,366892
27/08/21 13:46,57,19,366892
27/08/21 13:46,58,10,366892
27/08/21 13:46,59,7,366892
27/08/21 13:46,60,41,366892
27/08/21 13:46,61,53,366892
27/08/21 13:46,62,2,366892
27/08/21 13:46,63,39,366892
27/08/21 14:25,0,39,805414
27/08/21 14:25,1,44,805414
27/08/21 14:26,2,4,805414
27/08/21 14:26,0,51,220232
27/08/21 15:08,0,57,134150
27/08/21 15:08,1,46,134150
27/08/21 15:08,2,40,134150
27/08/21 18:19,0,1,835556
27/08/21 18:19,1,28,835556
27/08/21 18:19,2,58,835556
27/08/21 18:19,3,46,835556
27/08/21 19:30,0,54,589673
27/08/21 19:31,1,3,589673
27/08/21 19:31,2,2,589673
27/08/21 19:31,3,35,589673
27/08/21 19:31,4,55,589673
27/08/21 19:31,5,40,589673
27/08/21 19:32,6,27,589673
27/08/21 19:32,7,57,589673
27/08/21 19:32,8,58,589673
27/08/21 19:32,9,20,589673
27/08/21 19:33,10,31,589673
27/08/21 21:20,0,1,952646
27/08/21 21:21,1,52,952646
27/08/21 21:22,2,13,952646
27/08/21 21:22,3,52,952646
27/08/21 21:24,4,3,952646
27/08/21 21:24,5,56,952646
27/08/21 21:25,6,7,952646
27/08/21 21:25,7,22,952646
27/08/21 21:25,8,55,952646
27/08/21 21:26,9,31,952646
29/08/21 21:54,0,32,460388
29/08/21 21:54,1,48,460388
04/09/21 23:40,0,3,202229
